,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14
0,0.0,6.79,8.65,9.6,12.0,13.68,15.78,18.0,22.8,26.51,32.95,34.8,43.27,51.6,57.6
1,6.79,0.0,2.4,6.79,8.65,11.88,12.98,14.05,18.63,21.73,27.63,30.38,39.07,47.05,53.02
2,8.65,2.4,0.0,5.37,6.79,10.32,11.06,11.82,16.32,19.35,25.23,28.01,36.71,44.66,50.63
3,9.6,6.79,5.37,0.0,2.4,5.09,6.46,8.4,13.2,16.97,23.58,25.2,33.69,42.0,48.0
4,12.0,8.65,6.79,2.4,0.0,3.79,4.33,6.0,10.8,14.6,21.26,22.8,31.29,39.6,45.6
5,13.68,11.88,10.32,5.09,3.79,0.0,2.68,6.0,10.25,14.5,21.47,21.9,30.02,38.57,44.55
6,15.78,12.98,11.06,6.46,4.33,2.68,0.0,3.39,7.59,11.82,18.78,19.35,27.6,36.08,42.07
7,18.0,14.05,11.82,8.4,6.0,6.0,3.39,0.0,4.8,8.74,15.6,16.8,25.31,33.6,39.6
8,22.8,18.63,16.32,13.2,10.8,10.25,7.59,4.8,0.0,4.33,11.32,12.0,20.54,28.8,34.8
9,26.51,21.73,19.35,16.97,14.6,14.5,11.82,8.74,4.33,0.0,7.0,8.74,17.47,25.31,31.29
10,32.95,27.63,25.23,23.58,21.26,21.47,18.78,15.6,11.32,7.0,0.0,6.46,13.68,20.12,25.9
11,34.8,30.38,28.01,25.2,22.8,21.9,19.35,16.8,12.0,8.74,6.46,0.0,8.74,16.8,22.8
12,43.27,39.07,36.71,33.69,31.29,30.02,27.6,25.31,20.54,17.47,13.68,8.74,0.0,8.74,14.6
13,51.6,47.05,44.66,42.0,39.6,38.57,36.08,33.6,28.8,25.31,20.12,16.8,8.74,0.0,6.0
14,57.6,53.02,50.63,48.0,45.6,44.55,42.07,39.6,34.8,31.29,25.9,22.8,14.6,6.0,0.0
