,total pass. count,total waiting time,total in-veh. time,total travel time,travel time per pass.,total veh. kms,total city travelers,total terminal travelers,avg. travel time to city,avg. travel time to terminal,wt city travel,ivt city travel,wt terminal travel,ivt terminal travel
large_half_1_init.pickle,149,1295.2599999999998,3646.1800000000003,4941.44,33.16,614.98,149,0,33.16,0.0,8.693020134228187,24.471006711409398,0.0,0.0
large_half_1_opt.pickle,149,1037.06,3445.0,4482.06,30.08,450.56,149,0,30.08,0.0,6.960134228187919,23.120805369127517,0.0,0.0
large_more_1_init.pickle,149,2040.1399999999999,5645.18,7685.32,51.58,519.72,149,0,51.58,0.0,13.69221476510067,37.88711409395973,0.0,0.0
large_more_1_opt.pickle,149,1546.7400000000002,5641.250000000002,7187.99,48.24,477.47,149,0,48.24,0.0,10.380805369127518,37.86073825503357,0.0,0.0
medium_half_1_init.pickle,153,1081.01,2508.7799999999993,3589.79,23.46,344.14,146,7,23.2,28.84,6.752465753424659,16.452465753424654,13.592857142857142,15.245714285714287
medium_half_1_opt.pickle,153,948.1599999999999,2378.7799999999997,3326.94,21.74,318.35,146,7,21.4,28.84,5.842534246575343,15.562054794520547,13.592857142857142,15.245714285714287
medium_more_1_init.pickle,153,1390.12,4240.57,5630.69,36.8,294.63,146,7,36.21,49.22,8.60917808219178,27.59719178082192,19.025714285714287,30.197142857142858
medium_more_1_opt.pickle,153,1189.1100000000001,3899.289999999999,5088.4,33.26,291.09,146,7,32.65,45.99,7.115479452054794,25.531780821917803,21.46428571428572,24.52142857142857
small_half_1_init.pickle,166,395.4200000000001,993.54,1388.96,8.37,76.91,159,7,8.35,8.77,2.364213836477988,5.98509433962264,2.7871428571428574,5.987142857142857
small_half_1_opt.pickle,166,223.16,995.25,1218.41,7.34,94.08,159,7,7.25,9.34,1.2665408805031444,5.985094339622642,3.111428571428571,6.231428571428571
small_more_1_init.pickle,166,502.7900000000001,1298.4,1801.19,10.85,92.3,159,7,10.74,13.42,2.9262893081761012,7.811320754716981,5.3585714285714285,8.057142857142857
small_more_1_opt.pickle,166,242.12,1301.61,1543.73,9.3,89.08,159,7,9.07,14.51,1.258867924528302,7.811320754716981,5.994285714285715,8.515714285714285
