,total pass. count,total waiting time,total in-veh. time,total travel time,travel time per pass.,total veh. kms,total city travelers,total terminal travelers,avg. travel time to city,avg. travel time to terminal,wt city travel,ivt city travel,wt terminal travel,ivt terminal travel
real_1_120phd_init.pickle,654,9094.6,18703.309999999998,27797.91,42.5,1328.54,631,23,42.03,55.41,13.458605388272582,28.575404120443743,26.183478260869567,29.227391304347826
real_1_120phd_opt.pickle,654,8759.099999999999,18317.879999999997,27076.98,41.4,1335.34,631,23,40.85,56.68,12.926909667194927,27.91846275752773,26.183478260869567,30.49260869565217
real_1_180phd_init.pickle,1010,18288.149999999998,46924.98,65213.13,64.57,1705.88,973,37,64.2,74.1,17.405046248715315,46.79973278520041,36.56864864864864,37.53621621621622
real_1_180phd_opt.pickle,1010,21561.929999999997,32803.65,54365.58,53.83,2007.61,973,37,50.69,136.39,18.466258992805752,32.22143884892087,97.14216216216217,39.248378378378376
real_1_4veh_80cap__init.pickle,654,28399.85,27050.14,55449.99,84.79,849.97,631,23,82.6,144.89,40.616735340729,41.97835182250395,120.46478260869566,24.426086956521736
real_1_clust_15_init.pickle,654,9094.6,18703.309999999998,27797.91,42.5,1328.54,631,23,42.03,55.41,13.458605388272582,28.575404120443743,26.183478260869567,29.227391304347826
real_1_clust_15_opt.pickle,654,8759.099999999999,18317.879999999997,27076.98,41.4,1335.34,631,23,40.85,56.68,12.926909667194927,27.91846275752773,26.183478260869567,30.49260869565217
real_1_clust_30_init.pickle,654,10681.430000000002,18685.69,29367.12,44.9,1097.34,631,23,44.67,51.36,16.00255150554675,28.665911251980987,25.383478260869566,25.97826086956522
real_1_clust_30_opt.pickle,654,9476.549999999997,18118.01,27594.56,42.19,1102.12,631,23,41.91,50.02,14.184263074484946,27.723914421553097,22.88173913043478,27.139999999999997
real_1_clust_5_init.pickle,654,8772.93,20150.139999999996,28923.07,44.22,1434.06,631,23,43.26,70.63,12.662852614896991,30.599397781299526,34.02913043478261,36.60521739130434
real_1_clust_5_opt.pickle,654,8535.440000000002,19378.0,27913.44,42.68,1431.08,631,23,41.66,70.63,12.286481774960382,29.375721077654525,34.02913043478261,36.60521739130434
real_1_middle_dep_init.pickle,654,7209.3099999999995,20763.77,27973.08,42.77,1242.22,631,23,42.41,52.76,10.802741679873218,31.60535657686213,17.077391304347827,35.68652173913044
real_2_120phd_init.pickle,675,8711.2,20732.659999999996,29443.86,43.62,1093.58,653,22,43.28,53.67,12.174349157733538,31.10756508422665,34.60681818181818,19.064545454545456
real_2_120phd_opt.pickle,675,8457.339999999998,17926.57,26383.91,39.09,1283.31,653,22,38.41,59.11,11.655130168453294,26.75742725880551,38.47909090909092,20.635
real_2_180phd_init.pickle,1004,18405.75,41139.3,59545.05,59.31,1743.22,967,37,58.4,83.1,17.39065149948294,41.00689762150982,42.94567567567567,40.15216216216216
real_2_180phd_opt.pickle,1004,16944.21,35781.63999999999,52725.85,52.52,1776.03,967,37,51.23,86.22,15.751178903826265,35.47489141675285,46.29243243243243,39.93027027027027
real_2_80veh_4cap__init.pickle,675,3156.300000000001,15955.329999999998,19111.63,28.31,3320.84,653,22,28.12,34.11,4.373996937212866,23.74424196018376,13.639999999999999,20.470000000000002
real_2_80veh_4cap__opt.pickle,675,3197.140000000002,15676.229999999998,18873.37,27.96,3332.87,653,22,27.75,34.11,4.436539050535989,23.316830015313933,13.639999999999999,20.470000000000002
