,total pass. count,#request groups,total waiting time,total in-veh. time,stopping time,total travel time,travel time per pass.,total veh. kms,total city travelers,total terminal travelers,avg. travel time to city,avg. travel time to terminal,wt city travel,ivt city travel,wt terminal travel,ivt terminal travel,in-advance pass. count,real-time pass. count,in-advance tt,real-time tt
large_half_1_init.pickle,149,63,4979.04,3563.7700000000004,2169.09,8542.81,57.33,1162.2,149,0,57.33,0.0,33.41637583892617,23.91791946308725,0.0,0.0,149,0,8542.81,0
large_half_1_opt.pickle,149,63,2676.75,3292.7200000000003,2176.78,5969.47,40.06,929.92,149,0,40.06,0.0,17.96476510067114,22.098791946308726,0.0,0.0,149,0,5969.47,0
large_half_2_init.pickle,161,64,5621.23,4072.86,2538.76,9694.09,60.21,1278.4,161,0,60.21,0.0,34.91447204968944,25.297267080745343,0.0,0.0,161,0,9694.09,0
large_half_2_opt.pickle,161,64,3041.42,3625.4299999999994,2556.9299999999994,6666.85,41.41,890.41,161,0,41.41,0.0,18.890807453416148,22.518198757763972,0.0,0.0,161,0,6666.85,0
large_more_1_init.pickle,149,63,9786.789999999999,3466.09,2156.09,13252.88,88.95,1091.63,149,0,88.95,0.0,65.6831543624161,23.26234899328859,0.0,0.0,149,0,13252.88,0
large_more_1_opt.pickle,149,63,5287.84,3275.64,2094.0,8563.48,57.47,984.68,149,0,57.47,0.0,35.48885906040269,21.984161073825504,0.0,0.0,149,0,8563.48,0
large_more_2_init.pickle,161,64,9538.05,3784.4900000000002,2430.67,13322.54,82.75,1128.18,161,0,82.75,0.0,59.242546583850924,23.506149068322983,0.0,0.0,161,0,13322.54,0
large_more_2_opt.pickle,161,64,4703.709999999999,3564.2599999999993,2702.689999999999,8267.97,51.35,717.97,161,0,51.35,0.0,29.215590062111797,22.13826086956521,0.0,0.0,161,0,8267.97,0
medium_half_1_init.pickle,153,52,2816.609999999999,1945.14,1173.3600000000001,4761.75,31.12,643.21,146,7,31.32,27.05,18.552602739726026,12.765068493150686,15.418571428571429,11.634285714285713,153,0,4761.75,0
medium_half_1_opt.pickle,153,52,1644.3400000000001,1847.03,1263.31,3491.37,22.82,486.45,146,7,22.3,33.69,10.20527397260274,12.093082191780823,22.052857142857142,11.634285714285713,153,0,3491.37,0
medium_half_2_init.pickle,164,47,2789.3799999999997,1965.1599999999999,1255.9699999999998,4754.54,28.99,591.04,157,7,29.38,20.34,17.422356687898088,11.954585987261147,7.724285714285713,12.612857142857141,164,0,4754.54,0
medium_half_2_opt.pickle,164,47,1292.07,1974.3500000000001,1485.2800000000002,3266.42,19.92,407.59,157,7,19.57,27.63,7.549745222929937,12.023375796178344,15.251428571428571,12.382857142857144,164,0,3266.42,0
medium_more_1_init.pickle,153,52,4511.87,1946.4500000000003,1325.4300000000003,6458.32,42.21,517.57,146,7,42.13,43.92,29.584315068493147,12.545068493150685,27.50857142857143,16.41,153,0,6458.32,0
medium_more_1_opt.pickle,153,52,2108.25,1847.76,1410.6100000000001,3956.01,25.86,364.31,146,7,24.88,46.31,12.921164383561642,11.954589041095893,31.680000000000003,14.627142857142857,153,0,3956.01,0
medium_more_2_init.pickle,164,47,4278.280000000001,2005.55,1365.19,6283.83,38.32,533.68,157,7,37.86,48.59,25.749235668789808,12.108853503184715,33.66428571428572,14.922857142857143,164,0,6283.83,0
medium_more_2_opt.pickle,164,47,2039.1299999999999,2033.8200000000004,1672.7700000000004,4072.95,24.84,300.89,157,7,24.04,42.57,12.089617834394904,11.954585987261147,20.15142857142857,22.421428571428574,164,0,4072.95,0
small_half_1_init.pickle,166,22,491.9200000000001,794.3299999999999,675.51,1286.25,7.75,99.08,159,7,7.75,7.67,2.9711320754716986,4.780880503144653,2.7871428571428574,4.881428571428572,166,0,1286.25,0
small_half_1_opt.pickle,166,27,208.55000000000007,794.2600000000001,675.44,1002.81,6.04,99.08,159,7,5.94,8.32,1.1600628930817614,4.780440251572328,3.442857142857143,4.881428571428572,166,0,1002.81,0
small_half_2_init.pickle,169,24,463.8000000000001,816.7599999999999,696.2399999999999,1280.56,7.58,100.52,164,5,7.66,4.87,2.7989634146341467,4.860975609756097,0.954,3.9120000000000004,169,0,1280.56,0
small_half_2_opt.pickle,169,27,203.23999999999998,796.6,679.47,999.84,5.92,97.69,164,5,5.94,5.04,1.2048780487804873,4.738048780487805,1.128,3.9120000000000004,169,0,999.84,0
small_more_1_init.pickle,166,21,639.3500000000001,794.26,668.52,1433.61,8.64,104.86,159,7,8.57,10.24,3.7851572327044027,4.780440251572326,5.3585714285714285,4.881428571428572,166,0,1433.61,0
small_more_1_opt.pickle,166,23,247.69,794.2600000000001,683.2700000000001,1041.95,6.28,92.57,159,7,6.03,11.84,1.2515723270440253,4.780440251572328,6.9557142857142855,4.881428571428572,166,0,1041.95,0
small_more_2_init.pickle,169,25,799.6300000000001,796.6,658.08,1596.23,9.45,115.52,164,5,9.52,7.09,4.778902439024391,4.738048780487805,3.178,3.9120000000000004,169,0,1596.23,0
small_more_2_opt.pickle,169,28,224.92,796.5999999999999,680.2499999999999,1021.52,6.04,97.03,164,5,5.99,7.75,1.2545731707317074,4.738048780487805,3.8340000000000005,3.9120000000000004,169,0,1021.52,0
