,total pass. count,total waiting time,total in-veh. time,total travel time,travel time per pass.,total veh. kms,avg. travel time to city,avg. travel time to terminal
large_half_1_init,149,1382.74,3723.62,5106.36,34.27,518.51,34.27,0.0
large_half_1_opt,149,1309.33,3333.21,4642.54,31.16,510.18,31.16,0.0
large_more_1_init,149,2293.7200000000003,6337.88,8631.6,57.93,514.55,57.93,0.0
large_more_1_opt,149,1459.98,5607.6,7067.58,47.43,405.63,47.43,0.0
medium_half_1_init,153,1282.51,2263.0200000000004,3545.53,23.17,286.17,22.81,30.85
medium_half_1_opt,153,1088.7800000000002,2161.5600000000004,3250.34,21.24,260.16,20.89,28.58
medium_more_1_init,153,1757.92,4111.09,5869.01,38.36,288.03,37.44,57.58
medium_more_1_opt,153,1272.12,3861.6499999999996,5133.77,33.55,265.7,33.08,43.53
real_half_1_init,654,17718.98,15610.169999999996,33329.15,50.96,1372.6,49.54,90.03
small_half_1_init,166,347.9200000000001,993.5400000000001,1341.46,8.08,71.25,8.04,8.91
small_half_1_opt,166,262.57,1003.48,1266.05,7.63,94.47,7.51,10.37
small_more_1_init,166,361.21000000000004,1298.3999999999999,1659.61,10.0,68.42,9.85,13.25
small_more_1_opt,166,277.68,1302.6399999999999,1580.32,9.52,89.74,9.35,13.42
