;total pass. count;#request groups;total waiting time;total in-veh. time;stopping time;total travel time;travel time per pass.;total veh. kms;total city travelers;total terminal travelers;avg. travel time to city;avg. travel time to terminal;wt city travel;ivt city travel;wt terminal travel;ivt terminal travel;in-advance pass. count;real-time pass. count;in-advance tt;real-time tt
real_1_180phd_init.pickle;1010;207;45224.53;29934.87;26516.83;75159.4;74.42;2848.35;973;37;74.6;69.47;44.85054471;29.75263104;42.83648649;26.63675676;1010;0;75159.4;0
real_1_180phd_opt.pickle;1010;212;41230.69;28087.26;24628.43;69317.95;68.63;2882.34;973;37;68.55;70.81;40.6950668;27.85375128;44.1727027;26.63675676;1010;0;69317.95;0
real_1_4veh_80cap__init.pickle;654;46;45981.32;20334.63;19602.96;66315.95;101.4;609.72;631;23;101.16;107.97;70.0396355;31.12137876;77.66565217;30.30608696;654;0;66315.95;0
real_1_4veh_80cap__opt.pickle;654;56;38110.47;20269.01;19425.49;58379.48;89.27;702.96;631;23;86.58;163.03;55.57415214;31.00245642;132.3121739;30.71565217;654;0;58379.48;0
real_1_80veh_4cap__init.pickle;654;334;10990.84;15229.05;7789;26219.89;40.09;6199.89;631;23;40.28;34.83;17.01248811;23.27079239;11.12869565;23.70347826;654;0;26219.89;0
real_1_80veh_4cap__opt.pickle;654;348;9563.87;15158.41;7932.47;24722.28;37.8;6021.49;631;23;37.9;35.1;14.74122029;23.15884311;11.39826087;23.70347826;654;0;24722.28;0
real_1_center_dep_init.pickle;654;134;18167.55;18115.53;15674.98;36283.08;55.48;2033.81;631;23;55.99;41.34;28.16232964;27.83190174;17.26608696;24.06956522;654;0;36283.08;0
real_1_center_dep_opt.pickle;654;142;17071.5;16857.07;14461.72;33928.57;51.88;1996.14;631;23;51.97;49.34;26.16142631;25.80950872;24.50608696;24.83782609;654;0;33928.57;0
real_1_clust_1_init.pickle;654;473;46742.34;21235.89;16808.38;67978.23;103.94;3689.55;631;23;103.84;106.76;71.16909667;32.67061807;79.76695652;26.98826087;654;0;67978.23;0
real_1_clust_1_opt.pickle;654;474;46754.77;20922.57;16504.48;67677.34;103.48;3681.7;631;23;103.36;106.76;71.18879556;32.1740729;79.76695652;26.98826087;654;0;67677.34;0
real_1_clust_30_init.pickle;654;88;22001.54;15920.06;13952.07;37921.6;57.98;1639.96;631;23;57.91;60.11;33.5203645;24.38606973;36.96478261;23.15;654;0;37921.6;0
real_1_clust_30_opt.pickle;654;96;15658.07;16220.65;14264.17;31878.72;48.74;1630.37;631;23;47.92;71.32;23.18217116;24.7392393;44.78782609;26.53;654;0;31878.72;0
real_1_clust_5_init.pickle;654;250;29250.09;21361.03;18046.13;50611.12;77.39;2762.38;631;23;77.25;81.03;44.31798732;32.93633914;55.88869565;25.13913043;654;0;50611.12;0
real_1_clust_5_opt.pickle;654;250;27627.4;20485.73;17301.67;48113.13;73.57;2653.34;631;23;73.25;82.37;41.69744849;31.54917591;57.23086957;25.13913043;654;0;48113.13;0
real_1_clust_60_init.pickle;654;66;27905.76;14952.9;13360.56;42858.66;65.53;1326.9;631;23;66.07;50.82;43.12082409;22.94870048;30.28347826;20.53347826;654;0;42858.66;0
real_1_clust_60_opt.pickle;654;86;18717.46;15924.08;14226.64;34641.54;52.97;1414.48;631;23;52.71;59.99;28.23378764;24.47882726;39.21478261;20.78;654;0;34641.54;0
real_1_middle_dep_init.pickle;654;132;17318.77;18813.04;16508.9;36131.81;55.25;1920.13;631;23;55.69;42.97;26.85212361;28.84280507;16.30782609;26.66217391;654;0;36131.81;0
real_1_middle_dep_opt.pickle;654;133;16004.33;17828.12;15672.77;33832.45;51.73;1796.15;631;23;52.05;43.02;24.76730586;27.28191759;16.35478261;26.66217391;654;0;33832.45;0
