;total pass. count;total waiting time;total in-veh. time;total travel time;travel time per pass.;total veh. kms;total city travelers;total terminal travelers;avg. travel time to city;avg. travel time to terminal;wt city travel;ivt city travel;wt terminal travel;ivt terminal travel
real_1_120phd_init.pickle;654;9094.6;18703.31;27797.91;42.5;1328.54;631;23;42.03;55.41;13.45860539;28.57540412;26.18347826;29.2273913
real_1_120phd_opt.pickle;654;8759.1;18317.88;27076.98;41.4;1335.34;631;23;40.85;56.68;12.92690967;27.91846276;26.18347826;30.4926087
real_1_180phd_init.pickle;1010;18288.15;46924.98;65213.13;64.57;1705.88;973;37;64.2;74.1;17.40504625;46.79973279;36.56864865;37.53621622
real_1_180phd_opt.pickle;1010;21561.93;32803.65;54365.58;53.83;2007.61;973;37;50.69;136.39;18.46625899;32.22143885;97.14216216;39.24837838
real_1_4veh_80cap__init.pickle;654;28399.85;27050.14;55449.99;84.79;849.97;631;23;82.6;144.89;40.61673534;41.97835182;120.4647826;24.42608696
real_1_center_dep_init.pickle;654;8500.5;19609.48;28109.98;42.98;1272.12;631;23;42.89;45.54;12.70659271;30.18169572;20.98434783;24.55782609
real_1_center_dep_opt.pickle;654;8624.42;18736.84;27361.26;41.84;1285.15;631;23;41.59;48.59;12.78649762;28.80396197;24.18;24.41478261
real_1_clust_15_init;654;9094.6;18703.31;27797.91;42.5;1328.54;631;23;42.03;55.41;13.45860539;28.57540412;26.18347826;29.2273913
real_1_clust_15_init.pickle;654;9094.6;18703.31;27797.91;42.5;1328.54;631;23;42.03;55.41;13.45860539;28.57540412;26.18347826;29.2273913
real_1_clust_15_opt.pickle;654;8759.1;18317.88;27076.98;41.4;1335.34;631;23;40.85;56.68;12.92690967;27.91846276;26.18347826;30.4926087
real_1_clust_30_init.pickle;654;10681.43;18685.69;29367.12;44.9;1097.34;631;23;44.67;51.36;16.00255151;28.66591125;25.38347826;25.97826087
real_1_clust_30_opt.pickle;654;9476.55;18118.01;27594.56;42.19;1102.12;631;23;41.91;50.02;14.18426307;27.72391442;22.88173913;27.14
real_1_clust_5_init;654;8772.93;20150.14;28923.07;44.22;1434.06;631;23;43.26;70.63;12.66285261;30.59939778;34.02913043;36.60521739
real_1_clust_5_init.pickle;654;8772.93;20150.14;28923.07;44.22;1434.06;631;23;43.26;70.63;12.66285261;30.59939778;34.02913043;36.60521739
real_1_clust_5_opt.pickle;654;8535.44;19378;27913.44;42.68;1431.08;631;23;41.66;70.63;12.28648177;29.37572108;34.02913043;36.60521739
real_1_middle_dep_init.pickle;654;7209.31;20763.77;27973.08;42.77;1242.22;631;23;42.41;52.76;10.80274168;31.60535658;17.0773913;35.68652174
real_1_middle_dep_opt.pickle;654;7460.05;19125.75;26585.8;40.65;1226.21;631;23;40.24;52.05;11.06137876;29.17405705;20.88347826;31.17043478
real_2_120phd_init.pickle;675;8711.2;20732.66;29443.86;43.62;1093.58;653;22;43.28;53.67;12.17434916;31.10756508;34.60681818;19.06454545
real_2_120phd_opt.pickle;675;8457.34;17926.57;26383.91;39.09;1283.31;653;22;38.41;59.11;11.65513017;26.75742726;38.47909091;20.635
real_2_180phd_init.pickle;1004;18405.75;41139.3;59545.05;59.31;1743.22;967;37;58.4;83.1;17.3906515;41.00689762;42.94567568;40.15216216
real_2_180phd_opt.pickle;1004;16944.21;35781.64;52725.85;52.52;1776.03;967;37;51.23;86.22;15.7511789;35.47489142;46.29243243;39.93027027
real_2_4veh_80cap__init.pickle;675;26106.89;22970.7;49077.59;72.71;663.7;653;22;70.56;136.46;36.33644717;34.22321593;108.145;28.31545455
real_2_80veh_4cap__init.pickle;675;3156.3;15955.33;19111.63;28.31;3320.84;653;22;28.12;34.11;4.373996937;23.74424196;13.64;20.47
real_2_80veh_4cap__opt.pickle;675;3197.14;15676.23;18873.37;27.96;3332.87;653;22;27.75;34.11;4.436539051;23.31683002;13.64;20.47
