,total pass. count,#request groups,total waiting time,total in-veh. time,stopping time,total travel time,travel time per pass.,total veh. kms,total city travelers,total terminal travelers,avg. travel time to city,avg. travel time to terminal,wt city travel,ivt city travel,wt terminal travel,ivt terminal travel,in-advance pass. count,real-time pass. count,in-advance tt,real-time tt
real_scen1_subscen2sample_1_init.pickle,689,158,21766.85,19858.28,17320.98,41625.13,60.41,2114.44,639,50,59.32,74.45,30.608544600938963,28.7066510172144,44.159800000000004,30.2946,689,0,41625.13,0
real_scen1_subscen2sample_1_opt.pickle,689,162,19116.399999999998,19245.420000000002,16793.27,38361.82,55.68,2043.49,639,50,53.98,77.38,26.20394366197183,27.775790297339597,47.4416,29.933799999999998,689,0,38361.82,0
real_scen1_subscen2sample_2_init.pickle,717,161,28150.200000000004,22518.089999999997,19799.459999999995,50668.29,70.67,2265.55,668,49,70.5,72.88,38.74712574850299,31.757305389221553,46.267755102040816,26.616530612244897,717,0,50668.29,0
real_scen1_subscen2sample_2_opt.pickle,717,181,22930.329999999994,21942.71,19292.739999999998,44873.04,62.58,2208.3,668,49,60.5,90.95,30.023817365269462,30.480029940119756,58.661632653061226,32.28673469387755,717,0,44873.04,0
real_scen2_subscen2sample_1_init.pickle,654,140,20691.380000000005,21957.769999999997,19531.459999999995,42649.15,65.21,2021.93,631,23,65.24,64.56,31.48797147385103,33.748526148969894,35.75956521739131,28.802173913043475,654,0,42649.15,0
real_scen2_subscen2sample_1_opt.pickle,654,156,18870.320000000003,18316.800000000003,15674.370000000003,37187.12,56.86,2202.01,631,23,55.35,98.36,27.33648177496038,28.01201267828843,70.4782608695652,27.879130434782606,654,0,37187.12,0
real_scen2_subscen2sample_2_init.pickle,675,131,23720.800000000003,21166.74,18811.49,44887.54,66.5,1962.71,653,22,66.06,79.61,34.297320061255746,31.761117917304738,60.21136363636364,19.39681818181818,675,0,44887.54,0
real_scen2_subscen2sample_2_opt.pickle,675,137,21174.909999999996,18935.85,16604.78,40110.76,59.42,1942.57,653,22,58.63,82.89,30.287947932618682,28.34474732006126,63.49454545454546,19.39681818181818,675,0,40110.76,0
real_scen3_subscen2sample_1_init.pickle,632,110,18777.920000000002,20608.41,18262.68,39386.33,62.32,1954.76,628,4,62.39,51.52,29.71141719745223,32.67751592356688,29.787499999999998,21.7325,632,0,39386.33,0
real_scen3_subscen2sample_1_opt.pickle,632,127,15003.079999999998,17352.29,15209.36,32355.37,51.2,1785.79,628,4,51.14,59.78,23.665700636942677,27.474792993630576,35.254999999999995,24.53,632,0,32355.37,0
real_scen3_subscen2sample_2_init.pickle,657,118,20008.809999999998,19430.390000000003,16894.670000000002,39439.2,60.03,2113.02,648,9,59.56,93.66,29.90524691358025,29.656836419753088,70.02333333333334,23.64,657,0,39439.2,0
real_scen3_subscen2sample_2_opt.pickle,657,127,15721.03,17061.19,14686.22,32782.22,49.9,1979.11,648,9,48.4,157.85,22.390540123456788,26.006959876543206,134.66222222222223,23.186666666666667,657,0,32782.22,0
