,0,1,2
"(1, '2,1')",31.84,5.0,
"(1, '15,2')",65.97,,
"(1, '11,0')",80.62,2.0,
"(1, '10,0')",86.62,5.0,
"(1, '8,0')",91.99,4.0,
"(1, '12,0')",101.59,9.0,
"(1, '15,0')",111.19,,
"(1, '14,0')",115.99,5.0,
"(1, '14,1')",115.99,2.0,
"(1, '2,0')",145.41,4.0,
"(1, '8,1')",161.01,9.0,
"(1, '15,1')",180.21,,
"(1, '7,0')",201.17,2.0,
"(1, '6,0')",207.63,2.0,
"(1, '6,1')",207.63,10.0,
"(1, '15,3')",234.99,,
"(1, '3,0')",266.4,6.0,
"(1, '15,4')",297.81,,
"(2, '4,0')",13.71,7.0,
"(2, '15,6')",44.91,,
"(2, '14,1')",49.71,6.0,
"(2, '15,3')",54.51,,
"(2, '9,0')",80.25,6.0,
"(2, '10,0')",99.73,6.0,
"(2, '11,0')",108.68,8.0,
"(2, '15,0')",123.33,,
"(2, '9,1')",140.13,5.0,
"(2, '8,0')",142.53,5.0,
"(2, '8,1')",142.53,10.0,
"(2, '15,1')",161.73,,
"(2, '14,0')",166.53,10.0,
"(2, '15,2')",171.33,,
"(2, '13,0')",179.38,10.0,
"(2, '15,4')",187.43,2.0,
"(2, '15,5')",187.43,1.0,1.0
"(2, '8,2')",206.63,,
"(2, '3,0')",219.16,,
"(2, '6,0')",230.98,9.0,
"(2, '15,7')",258.34,,
"(3, '11,0')",25.43,5.0,
"(3, '15,3')",40.08,,
"(3, '6,0')",79.36,6.0,8.0
"(3, '2,1')",94.4,6.0,
"(3, '15,2')",128.53,,
"(3, '12,0')",138.13,6.0,
"(3, '10,0')",146.78,6.0,
"(3, '13,0')",159.54,8.0,
"(3, '15,0')",167.59,,
"(3, '12,1')",177.19,8.0,
"(3, '2,0')",201.93,7.0,
"(3, '8,0')",217.53,1.0,
"(3, '7,0')",222.48,4.0,
"(3, '15,1')",243.44,,
"(4, '5,2')",49.18,9.0,
"(4, '15,3')",75.58,,
"(4, '12,1')",85.18,3.0,
"(4, '7,0')",97.0,7.0,
"(4, '5,1')",104.68,8.0,
"(4, '12,0')",121.48,2.0,
"(4, '15,2')",131.08,,
"(4, '11,0')",145.73,9.0,
"(4, '10,0')",151.73,11.0,
"(4, '15,0')",169.2,,
"(4, '5,0')",195.6,6.0,
"(4, '6,0')",202.8,10.0,
"(4, '15,1')",230.16,,
"(4, '12,2')",239.76,1.0,
"(4, '14,0')",244.56,,
"(5, '5,0')",17.02,9.0,
"(5, '15,2')",43.42,,
"(5, '12,1')",53.02,7.0,7.0
"(5, '10,0')",61.67,6.0,
"(5, '15,0')",154.81,1.0,
"(5, '12,0')",164.41,,
"(5, '8,0')",175.94,6.0,
"(5, '1,0')",192.74,4.0,
"(5, '4,0')",197.54,1.0,
"(5, '4,1')",197.54,6.0,
"(5, '15,1')",228.74,,
"(5, '3,0')",260.15,9.0,
"(5, '15,3')",291.56,,
"(6, '13,1')",29.02,10.0,
"(6, '15,3')",37.07,,
"(6, '9,0')",53.87,2.0,
"(6, '11,0')",63.54,4.0,
"(6, '10,0')",69.54,5.0,
"(6, '12,0')",78.19,9.0,
"(6, '15,0')",87.79,,
"(6, '5,0')",114.19,1.0,
"(6, '1,0')",123.79,7.0,
"(6, '1,1')",123.79,3.0,
"(6, '13,0')",152.81,9.0,
"(6, '15,1')",160.86,,
"(6, '2,0')",194.99,8.0,
"(6, '2,1')",194.99,3.0,
"(6, '4,0')",201.45,9.0,
"(6, '15,2')",232.65,,
"(6, '3,0')",264.06,9.0,
"(6, '15,4')",295.47,,
"(7, '2,2')",13.84,6.0,
"(7, '15,3')",47.97,2.0,
"(7, '9,0')",64.77,,
"(7, '8,0')",67.17,8.0,
"(7, '5,0')",78.42,4.0,
"(7, '2,1')",95.92,5.0,
"(7, '14,1')",125.67,3.0,
"(7, '15,2')",130.47,2.0,
"(7, '11,0')",145.62,7.0,
"(7, '10,0')",151.62,9.0,
"(7, '14,0')",164.54,4.0,
"(7, '15,0')",169.34,2.0,
"(7, '8,1')",188.54,,
"(7, '2,0')",204.14,7.0,
"(7, '9,1')",221.98,6.0,
"(7, '9,2')",221.98,3.0,
"(7, '3,0')",236.82,4.0,
"(7, '15,1')",268.23,,
"(8, '7,1')",30.53,7.0,6.0
"(8, '15,2')",51.49,,
"(8, '9,0')",68.29,3.0,
"(8, '11,0')",77.96,6.0,
"(8, '11,1')",88.69,5.0,
"(8, '10,0')",164.9,6.0,
"(8, '15,0')",182.37,,
"(8, '7,0')",203.33,6.0,
"(8, '6,0')",209.79,4.0,
"(8, '6,1')",209.79,5.0,
"(8, '15,1')",237.15,,
"(8, '3,0')",268.56,5.0,
"(8, '15,3')",299.97,,
"(9, '8,0')",25.01,5.0,10.0
"(9, '15,2')",46.43,1.0,
"(9, '14,0')",51.23,,
"(9, '12,0')",56.03,1.0,
"(9, '5,0')",72.83,9.0,
"(9, '10,0')",83.56,10.0,
"(9, '15,0')",101.03,,
"(9, '15,1')",165.96,1.0,
"(9, '13,0')",174.01,,
"(9, '5,1')",193.54,4.0,
"(9, '11,0')",210.21,1.0,
"(9, '15,3')",224.86,,
"(9, '9,0')",241.66,7.0,
"(9, '15,4')",258.46,,
"(10, '4,2')",47.48,4.0,5.0
"(10, '15,3')",78.68,,
"(10, '6,0')",106.04,3.0,
"(10, '4,1')",114.69,9.0,8.0
"(10, '15,2')",145.89,1.0,
"(10, '11,0')",160.54,3.0,
"(10, '10,0')",169.34,3.0,
"(10, '9,0')",174.14,11.0,
"(10, '15,0')",190.94,,
"(10, '4,0')",222.14,4.0,
"(10, '3,0')",225.74,4.0,
"(10, '3,1')",225.74,6.0,
"(10, '15,1')",257.15,,
"(11, '10,0')",19.79,5.0,
"(11, '15,0')",37.26,1.0,
"(11, '13,1')",45.31,5.0,
"(11, '8,0')",57.84,3.0,
"(11, '13,0')",72.72,3.0,
"(11, '14,0')",78.32,9.0,
"(11, '15,1')",156.59,1.0,1.0
"(11, '11,0')",171.24,1.0,3.0
"(11, '15,2')",185.89,,
"(11, '13,2')",193.94,,
"(11, '4,0')",218.21,,
"(11, '6,0')",226.86,8.0,
"(11, '15,3')",254.22,,
"(12, '12,0')",26.4,5.0,
"(12, '15,1')",36.0,1.0,
"(12, '15,3')",43.0,2.0,
"(12, '11,1')",57.65,,
"(12, '7,0')",73.3,7.0,
"(12, '7,1')",73.3,2.0,
"(12, '1,0')",132.46,11.0,
"(12, '15,0')",168.46,1.0,1.0
"(12, '11,0')",183.11,,
"(12, '11,2')",183.11,4.0,
"(12, '5,0')",199.78,,
"(12, '4,0')",204.58,4.0,
"(12, '6,0')",213.23,4.0,
"(12, '6,1')",213.23,3.0,
"(12, '9,0')",225.23,5.0,
"(12, '15,2')",242.03,,
"(12, '3,0')",273.44,6.0,
"(12, '15,4')",304.85,,
"(13, '9,0')",19.2,7.0,
"(13, '15,4')",36.0,,
"(13, '14,0')",40.8,15.0,
"(13, '15,1')",45.6,2.0,
"(13, '13,0')",53.65,4.0,
"(13, '13,1')",53.65,5.0,
"(13, '1,0')",117.06,9.0,
"(13, '15,0')",154.21,2.0,
"(13, '7,1')",175.17,9.0,
"(13, '5,0')",182.85,,
"(13, '5,1')",182.85,1.0,
"(13, '7,0')",190.53,1.0,
"(13, '7,2')",190.53,3.0,
"(13, '11,0')",206.18,6.0,
"(13, '15,2')",220.83,,
"(13, '15,3')",220.83,1.0,1.0
"(13, '7,3')",241.79,,
"(13, '6,0')",248.25,,
"(14, '1,0')",15.67,13.0,
"(14, '15,1')",51.67,,
"(14, '14,3')",58.04,5.0,
"(14, '13,0')",62.37,1.0,
"(14, '13,2')",62.37,6.0,
"(14, '14,0')",66.7,,
"(14, '15,0')",105.53,1.0,
"(14, '13,1')",113.58,,
"(14, '8,0')",126.11,9.0,
"(14, '7,0')",133.46,2.0,
"(14, '12,0')",145.28,4.0,
"(14, '14,2')",150.08,5.0,
"(14, '15,2')",154.88,,
"(14, '9,0')",171.68,7.0,
"(14, '10,0')",176.48,1.0,
"(14, '12,2')",185.13,5.0,
"(14, '14,1')",189.93,,
"(14, '12,1')",194.73,1.0,
"(14, '15,3')",204.33,1.0,
"(14, '15,4')",204.33,1.0,1.0
"(14, '6,0')",231.69,,
"(14, '2,0')",246.73,,
"(14, '3,0')",250.12,4.0,
"(14, '3,1')",250.12,1.0,
"(14, '15,5')",281.53,,
"(15, '13,0')",29.02,2.0,
"(15, '14,0')",33.35,,
"(15, '12,0')",38.15,1.0,
"(15, '13,1')",42.48,,
"(15, '1,0')",71.5,5.0,
"(15, '1,1')",71.5,6.0,
"(15, '2,1')",80.93,8.0,1.0
"(15, '15,0')",115.06,,
"(15, '15,3')",115.06,1.0,
"(15, '13,2')",123.11,5.0,
"(15, '2,0')",151.2,2.0,
"(15, '5,0')",167.95,5.0,
"(15, '5,1')",167.95,2.0,
"(15, '7,0')",175.63,2.0,
"(15, '7,1')",175.63,4.0,
"(15, '15,1')",196.59,,
"(15, '4,0')",227.79,7.0,
"(15, '3,0')",231.39,2.0,
"(15, '3,1')",231.39,4.0,
"(15, '15,2')",262.8,,
"(16, '1,0')",32.13,8.0,
"(16, '15,0')",68.13,1.0,
"(16, '15,3')",69.59,1.0,
"(16, '12,0')",79.19,4.0,
"(16, '14,0')",90.13,8.0,
"(16, '13,0')",94.46,7.0,
"(16, '15,1')",103.21,1.0,
"(16, '4,0')",134.41,,
"(16, '1,1')",143.34,6.0,
"(16, '5,0')",152.94,3.0,
"(16, '5,1')",153.62,5.0,6.0
"(16, '15,2')",180.02,,
"(16, '7,0')",200.98,3.0,
"(16, '9,0')",206.98,6.0,
"(16, '9,1')",206.98,4.0,
"(16, '3,0')",221.82,7.0,
"(16, '15,4')",253.23,,
"(16, '15,5')",253.23,1.0,
"(16, '6,0')",280.59,,
