,0,1,2
"(1, '14,0')",62.16,30.0,
"(1, '15,2')",67.17,2.0,
"(1, '14,1')",71.97,,
"(1, '13,0')",76.3,31.0,
"(1, '10,0')",117.63,21.0,
"(1, '12,0')",126.28,22.0,
"(1, '15,0')",135.88,,
"(1, '15,1')",135.88,2.0,1.0
"(1, '11,0')",150.53,19.0,
"(1, '11,1')",150.53,25.0,
"(1, '15,3')",165.18,2.0,
"(1, '6,0')",192.54,,
"(1, '1,0')",204.54,,
"(1, '6,1')",216.54,21.0,
"(1, '15,4')",243.9,,
"(2, '10,0')",56.26,21.0,
"(2, '15,0')",73.73,,
"(2, '15,1')",73.73,2.0,
"(2, '12,0')",83.33,,
"(2, '12,1')",83.33,1.0,26.0
"(2, '13,0')",87.66,,
"(2, '2,0')",115.75,31.0,
"(2, '14,0')",145.17,18.0,
"(2, '15,2')",149.97,2.0,1.0
"(2, '9,0')",166.77,28.0,
"(2, '9,1')",166.77,20.0,
"(2, '15,3')",183.57,,
"(2, '3,0')",214.98,,
"(2, '12,2')",236.88,1.0,
"(2, '14,1')",241.68,,
"(3, '1,0')",56.28,29.0,
"(3, '15,0')",97.04,1.0,
"(3, '13,0')",105.09,17.0,
"(3, '8,0')",119.07,17.0,
"(3, '5,0')",126.27,,
"(3, '2,0')",135.64,17.0,
"(3, '4,0')",142.1,21.0,
"(3, '15,1')",173.3,1.0,
"(3, '15,2')",173.3,1.0,2.0
"(3, '10,0')",190.77,,
"(3, '8,1')",196.14,,
"(3, '6,0')",206.32,20.0,
"(3, '15,3')",233.68,,
"(4, '15,0')",36.0,1.0,2.0
"(4, '5,0')",62.4,17.0,
"(4, '7,1')",70.08,24.0,
"(4, '8,0')",75.03,20.0,
"(4, '13,0')",87.56,2.0,
"(4, '14,0')",91.89,,
"(4, '15,1')",96.69,1.0,
"(4, '7,0')",117.65,24.0,
"(4, '5,1')",125.33,20.0,
"(4, '4,0')",130.13,,
"(4, '1,0')",134.93,19.0,
"(4, '15,2')",170.93,,
"(4, '4,1')",202.13,27.0,
"(4, '3,0')",205.73,19.0,
"(4, '3,1')",205.73,23.0,
"(4, '15,3')",237.14,2.0,
"(4, '7,2')",258.1,,
