,0,1,2,3
"(1, '7,1')",16.32,4.0,,
"(1, '15,2')",37.28,,,
"(1, '11,0')",55.56,3.0,,
"(1, '10,0')",61.56,1.0,,
"(1, '15,0')",79.03,,,
"(1, '7,0')",99.99,1.0,,
"(1, '7,2')",99.99,1.0,2.0,
"(1, '15,1')",120.95,,,
"(2, '4,1')",6.43,4.0,,
"(2, '15,2')",37.63,,,
"(2, '10,0')",56.26,1.0,,
"(2, '11,0')",65.54,2.0,1.0,
"(2, '15,0')",80.19,,,
"(2, '6,0')",107.73,1.0,,
"(2, '4,0')",116.38,3.0,,
"(2, '15,1')",147.58,,,
"(3, '6,1')",26.05,2.0,2.0,
"(3, '15,2')",53.41,,,
"(3, '9,0')",70.96,2.0,,
"(3, '10,0')",75.76,2.0,,
"(3, '15,0')",93.23,,,
"(3, '6,0')",120.59,2.0,,
"(3, '15,1')",147.95,,,
"(4, '15,1')",36.0,1.0,,
"(4, '10,0')",74.15,1.0,,
"(4, '11,0')",80.15,1.0,,
"(4, '11,1')",80.15,2.0,,
"(4, '15,0')",94.8,,,
"(4, '6,0')",122.16,2.0,,
"(4, '15,2')",149.52,,,
"(5, '10,0')",22.98,2.0,,
"(5, '15,0')",40.45,,,
"(5, '14,0')",45.25,3.0,,
"(5, '15,1')",50.05,,,
"(5, '5,0')",99.89,2.0,2.0,
"(5, '15,2')",126.29,,,
"(6, '10,0')",30.53,1.0,,
"(6, '15,0')",48.0,,,
"(6, '13,0')",56.05,2.0,,
"(6, '15,1')",64.1,,,
"(6, '12,0')",73.7,2.0,2.0,
"(6, '15,2')",83.3,,,
"(6, '6,0')",110.66,1.0,,
"(6, '6,1')",112.78,1.0,,
"(6, '4,0')",121.43,2.0,,
"(6, '15,3')",152.63,,,
"(7, '10,0')",36.43,1.0,,
"(7, '15,0')",53.9,,,
"(7, '14,0')",74.82,4.0,,
"(7, '15,1')",79.62,,,
"(7, '4,0')",110.82,4.0,,
"(7, '15,2')",142.02,,,
"(8, '3,0')",19.77,2.0,2.0,
"(8, '15,3')",51.18,,,
"(8, '10,0')",68.65,1.0,,
"(8, '15,0')",86.12,,,
"(8, '14,0')",95.33,3.0,,
"(8, '15,1')",100.13,,,
"(8, '9,0')",116.93,2.0,,
"(8, '15,2')",133.73,,,
"(9, '11,0')",25.43,2.0,,
"(9, '15,2')",40.08,,,
"(9, '10,0')",57.55,4.0,,
"(9, '15,0')",75.02,,,
"(9, '7,0')",95.98,1.0,2.0,
"(9, '7,1')",95.98,1.0,,
"(9, '15,1')",116.94,,,
"(9, '15,3')",116.94,1.0,,
"(9, '6,0')",144.3,,,
"(10, '4,0')",47.83,4.0,,
"(10, '15,2')",79.03,,,
"(10, '10,0')",96.5,4.0,,
"(10, '15,0')",113.97,,,
"(10, '7,0')",134.93,2.0,,
"(10, '15,1')",155.89,,,
"(11, '11,2')",25.43,4.0,,
"(11, '15,1')",40.08,1.0,,
"(11, '9,0')",56.88,1.0,,
"(11, '10,0')",82.95,1.0,,
"(11, '11,0')",88.95,1.0,,
"(11, '15,0')",103.6,,,
"(11, '11,1')",118.58,2.0,1.0,
"(11, '15,2')",133.23,,,
"(12, '9,3')",19.2,4.0,,
"(12, '15,3')",36.0,,,
"(12, '9,1')",52.8,1.0,3.0,
"(12, '15,2')",69.6,,,
"(12, '10,0')",88.3,3.0,,
"(12, '15,0')",105.77,,,
"(12, '9,0')",122.57,1.0,,
"(12, '9,2')",122.57,1.0,,
"(12, '3,0')",137.41,2.0,,
"(12, '15,1')",168.82,,,
"(13, '10,0')",93.5,2.0,,
"(13, '15,0')",110.97,,,
"(14, '10,0')",19.79,2.0,,
"(14, '15,0')",37.26,,,
"(14, '14,0')",42.51,2.0,2.0,
"(14, '15,1')",47.31,,,
"(14, '13,0')",55.36,3.0,,
"(14, '15,2')",65.25,1.0,,
"(14, '13,1')",93.32,2.0,,
"(14, '15,3')",101.37,,,
"(14, '15,4')",101.61,1.0,,
"(14, '3,0')",133.02,1.0,,
"(14, '3,1')",133.02,1.0,,
"(14, '15,5')",164.43,,,
"(15, '10,0')",21.04,4.0,,
"(15, '15,0')",38.51,,,
"(15, '14,0')",43.31,1.0,,
"(15, '14,1')",43.31,3.0,,
"(15, '15,1')",48.11,,,
"(15, '13,0')",56.16,2.0,,
"(15, '15,2')",64.21,,,
"(15, '12,0')",73.81,2.0,,
"(15, '15,3')",83.41,,,
"(15, '11,0')",98.06,3.0,,
"(15, '15,4')",112.71,,,
"(16, '10,0')",107.23,4.0,,
"(16, '15,0')",124.7,,,
"(17, '10,0')",115.83,3.0,,
"(17, '15,0')",133.3,,,
"(18, '10,0')",19.79,2.0,,
"(18, '15,0')",37.26,,,
"(18, '14,0')",42.06,4.0,,
"(18, '15,1')",46.86,,,
"(18, '13,0')",54.91,2.0,,
"(18, '15,2')",62.96,,,
"(18, '13,1')",99.72,3.0,,
"(18, '15,3')",107.77,,,
"(18, '3,0')",139.18,2.0,,
"(18, '15,4')",170.59,,,
"(19, '10,0')",117.63,1.0,,
"(19, '15,0')",135.1,,,
"(20, '10,0')",19.79,2.0,,
"(20, '15,0')",37.26,,,
"(20, '15,1')",37.26,2.0,,
"(20, '1,0')",73.26,,,
"(20, '5,0')",82.86,2.0,2.0,
"(20, '15,2')",109.26,,,
"(20, '3,0')",140.67,1.0,,
"(20, '3,1')",140.67,1.0,,
"(20, '15,3')",172.08,,,
"(21, '12,1')",26.4,2.0,,
"(21, '15,2')",36.0,,,
"(21, '5,2')",62.4,2.0,2.0,
"(21, '15,0')",97.04,1.0,,
"(21, '12,0')",106.64,1.0,,
"(21, '5,0')",123.44,1.0,,
"(21, '5,1')",123.44,1.0,,
"(21, '15,1')",149.84,,,
"(22, '15,0')",36.0,1.0,,
"(22, '5,0')",62.4,,,
"(22, '5,1')",62.4,2.0,1.0,
"(22, '8,0')",69.6,1.0,,
"(22, '15,1')",88.8,,,
"(22, '12,0')",98.55,2.0,2.0,
"(22, '15,2')",108.15,,,
"(22, '3,0')",139.56,2.0,,
"(22, '15,3')",170.97,,,
"(23, '5,1')",39.77,2.0,,
"(23, '15,1')",66.17,,,
"(23, '13,0')",77.42,1.0,,
"(23, '14,0')",81.75,,,
"(23, '5,0')",103.35,4.0,,
"(23, '15,0')",129.75,,,
"(24, '5,0')",22.8,1.0,1.0,
"(24, '15,1')",49.2,,,
"(24, '13,0')",57.25,1.0,,
"(24, '14,0')",61.58,,,
"(24, '12,0')",66.7,2.0,,
"(24, '8,0')",88.78,2.0,,
"(24, '15,0')",107.98,,,
"(24, '3,0')",139.39,3.0,,
"(24, '15,2')",170.8,,,
"(25, '8,0')",17.76,2.0,1.0,
"(25, '15,0')",39.17,1.0,,
"(25, '12,0')",48.77,,,
"(25, '12,1')",48.77,2.0,,
"(25, '13,0')",62.07,2.0,,
"(25, '15,1')",70.12,,,
"(25, '9,0')",86.92,1.0,,
"(25, '7,0')",92.92,3.0,,
"(25, '15,2')",113.88,,,
"(25, '3,0')",145.29,2.0,,
"(25, '15,3')",176.7,,,
"(26, '5,0')",30.24,1.0,3.0,
"(26, '15,0')",56.64,1.0,,
"(26, '12,0')",66.24,,,
"(26, '12,1')",66.24,2.0,,
"(26, '15,1')",75.84,,,
"(26, '9,0')",94.76,1.0,1.0,
"(26, '4,0')",109.16,2.0,,
"(26, '15,2')",140.36,,,
"(27, '3,0')",13.24,3.0,1.0,
"(27, '15,3')",44.65,,,
"(27, '12,2')",54.25,4.0,,
"(27, '15,1')",63.85,,,
"(27, '12,0')",73.45,1.0,,
"(27, '13,0')",77.78,,,
"(27, '12,1')",82.11,2.0,,
"(27, '15,0')",91.71,,,
"(27, '11,0')",106.36,2.0,,
"(27, '15,2')",121.01,,,
"(28, '8,0')",16.8,1.0,,
"(28, '15,0')",36.0,1.0,,
"(28, '13,0')",44.05,4.0,,
"(28, '15,1')",52.1,,,
"(28, '13,1')",60.15,2.0,,
"(28, '15,2')",68.2,,,
"(28, '9,0')",85.0,1.0,,
"(28, '7,0')",91.0,3.0,,
"(28, '15,3')",111.96,,,
"(29, '8,0')",16.8,1.0,,
"(29, '15,0')",36.0,1.0,,
"(29, '14,1')",40.8,2.0,,
"(29, '13,0')",45.13,,,
"(29, '14,0')",49.46,1.0,,
"(29, '15,1')",54.26,,,
"(29, '13,1')",62.31,2.0,,
"(29, '15,2')",70.36,,,
"(29, '9,0')",87.16,1.0,1.0,
"(29, '7,0')",93.16,2.0,,
"(29, '15,3')",114.12,,,
"(30, '15,0')",61.37,1.0,,
"(30, '4,0')",92.57,,,
"(30, '5,0')",97.37,1.0,,
"(30, '5,1')",97.37,3.0,,
"(30, '15,1')",123.77,,,
"(31, '1,0')",41.7,2.0,,
"(31, '15,0')",77.7,,,
"(31, '7,0')",98.66,3.0,1.0,
"(31, '15,1')",119.62,,,
"(32, '1,0')",44.64,1.0,,
"(32, '15,0')",80.64,,,
"(32, '11,0')",96.96,3.0,1.0,
"(32, '15,1')",111.61,,,
"(33, '1,0')",49.87,1.0,,
"(33, '15,0')",85.87,,,
"(33, '12,0')",100.22,2.0,1.0,1.0
"(33, '15,1')",109.82,,,
"(33, '3,0')",141.23,2.0,,
"(33, '15,2')",172.64,,,
"(34, '6,1')",15.58,2.0,,
"(34, '15,2')",42.94,,,
"(34, '1,0')",78.94,4.0,,
"(34, '15,0')",114.94,,,
"(34, '6,0')",142.3,2.0,,
"(34, '15,1')",169.66,,,
"(35, '6,1')",12.0,1.0,,
"(35, '15,2')",39.36,,,
"(35, '9,0')",56.16,1.0,,
"(35, '1,0')",75.36,3.0,,
"(35, '15,0')",111.36,,,
"(35, '6,0')",138.72,2.0,,
"(35, '15,1')",166.08,,,
"(36, '1,0')",15.67,2.0,,
"(36, '15,0')",51.67,,,
"(36, '14,0')",82.07,3.0,,
"(36, '15,1')",86.87,,,
"(36, '9,0')",103.67,1.0,,
"(36, '4,0')",118.07,3.0,,
"(36, '15,2')",149.27,,,
"(37, '1,0')",23.77,3.0,,
"(37, '15,0')",59.77,,,
"(37, '12,0')",69.37,2.0,,
"(37, '8,0')",115.23,2.0,,
"(37, '15,1')",134.43,,,
"(38, '1,0')",28.1,4.0,,
"(38, '15,0')",64.1,,,
"(38, '15,1')",64.1,1.0,,
"(38, '11,0')",78.75,,,
"(38, '12,0')",87.49,4.0,,
"(38, '15,2')",97.09,,,
"(38, '11,1')",112.79,1.0,,
"(38, '4,0')",133.75,1.0,,
"(38, '3,0')",137.35,2.0,,
"(38, '15,3')",168.76,,,
"(39, '1,0')",32.13,1.0,,
"(39, '15,0')",68.13,,,
"(39, '7,0')",89.59,2.0,2.0,
"(39, '15,1')",110.55,,,
"(39, '3,0')",141.96,4.0,,
"(39, '15,2')",173.37,,,
"(40, '1,0')",72.99,2.0,,
"(40, '15,0')",108.99,,,
"(40, '3,0')",140.4,4.0,,
"(40, '15,1')",171.81,,,
"(41, '1,0')",76.88,2.0,,
"(41, '15,0')",112.88,,,
"(42, '1,0')",79.78,1.0,,
"(42, '15,0')",115.78,,,
"(43, '1,0')",87.8,3.0,,
"(43, '15,0')",123.8,,,
"(44, '1,0')",6.59,4.0,,
"(44, '15,0')",42.59,,,
"(44, '13,0')",83.28,2.0,2.0,
"(44, '15,1')",91.33,,,
"(44, '6,0')",118.69,2.0,,
"(44, '15,2')",146.05,,,
"(45, '1,0')",8.91,2.0,,
"(45, '15,0')",44.91,,,
"(45, '13,0')",52.96,4.0,,
"(45, '15,1')",61.01,,,
"(45, '13,1')",73.52,2.0,,
"(45, '15,2')",81.57,,,
"(45, '7,0')",102.53,4.0,,
"(45, '15,3')",123.49,,,
"(46, '1,0')",12.21,2.0,,
"(46, '15,0')",48.21,1.0,,
"(46, '14,0')",53.01,,,
"(46, '12,0')",58.74,2.0,,
"(46, '5,0')",109.11,2.0,,
"(46, '15,1')",135.51,,,
"(47, '1,0')",102.49,2.0,,
