,0,1,2,3,4,5,6,7
"(1, '10,2')",19.79,1.0,,,,,,
"(1, '15,2')",37.26,,,,,,,
"(1, '11,1')",59.97,1.0,3.0,2.0,1.0,1.0,,
"(1, '11,3')",69.76,1.0,2.0,2.0,,,,
"(1, '10,0')",75.76,1.0,1.0,,,,,
"(1, '8,0')",81.13,1.0,,,,,,
"(1, '8,1')",81.13,1.0,,,,,,
"(1, '9,0')",84.23,2.0,,,,,,
"(1, '14,0')",96.23,1.0,,,,,,
"(1, '15,0')",101.03,,,,,,,
"(1, '10,1')",118.5,2.0,,,,,,
"(1, '8,2')",123.87,1.0,1.0,,,,,
"(1, '8,3')",123.87,1.0,,,,,,
"(1, '14,1')",138.27,1.0,,,,,,
"(1, '14,2')",138.27,1.0,,,,,,
"(1, '15,1')",143.07,,,,,,,
"(1, '13,0')",151.12,2.0,,,,,,
"(1, '13,1')",151.12,1.0,,,,,,
"(1, '15,3')",159.17,,,,,,,
"(1, '15,4')",159.17,1.0,,,,,,
"(1, '11,0')",173.82,,,,,,,
"(1, '7,0')",189.47,2.0,,,,,,
"(1, '7,1')",189.47,1.0,,,,,,
"(1, '4,0')",201.29,1.0,,,,,,
"(1, '4,1')",201.29,2.0,,,,,,
"(1, '11,2')",222.25,1.0,,,,,,
"(1, '11,4')",222.25,1.0,,,,,,
"(1, '15,5')",236.9,,,,,,,
"(1, '6,0')",264.26,1.0,,,,,,
"(1, '6,1')",264.26,1.0,,,,,,
"(1, '15,6')",291.62,,,,,,,
"(2, '10,2')",19.79,1.0,1.0,,,,,
"(2, '15,2')",37.26,,,,,,,
"(2, '13,0')",45.31,3.0,3.0,,,,,
"(2, '9,0')",55.56,2.0,,,,,,
"(2, '9,1')",59.24,2.0,1.0,,,,,
"(2, '8,0')",61.64,2.0,1.0,1.0,,,,
"(2, '8,1')",61.64,1.0,,,,,,
"(2, '9,2')",64.04,1.0,,,,,,
"(2, '10,0')",68.84,1.0,,,,,,
"(2, '12,0')",77.49,1.0,,,,,,
"(2, '15,0')",87.09,1.0,,,,,,
"(2, '15,6')",87.09,1.0,,,,,,
"(2, '11,0')",101.74,1.0,,,,,,
"(2, '10,1')",107.74,2.0,,,,,,
"(2, '8,2')",113.11,1.0,,,,,,
"(2, '8,3')",113.11,1.0,,,,,,
"(2, '12,1')",122.71,2.0,,,,,,
"(2, '12,2')",122.71,1.0,,,,,,
"(2, '15,1')",132.31,,,,,,,
"(2, '15,3')",132.31,2.0,,,,,,
"(2, '1,0')",168.31,,,,,,,
"(2, '5,0')",177.91,1.0,,,,,,
"(2, '7,0')",185.59,1.0,,,,,,
"(2, '7,1')",185.59,1.0,,,,,,
"(2, '4,0')",197.41,1.0,,,,,,
"(2, '4,1')",197.41,2.0,,,,,,
"(2, '11,1')",218.37,1.0,,,,,,
"(2, '11,2')",218.37,1.0,,,,,,
"(2, '15,4')",233.02,,,,,,,
"(2, '6,0')",260.38,1.0,,,,,,
"(2, '6,1')",260.38,1.0,,,,,,
"(2, '3,0')",272.2,1.0,,,,,,
"(2, '3,1')",272.2,1.0,,,,,,
"(2, '15,5')",303.61,,,,,,,
"(3, '1,0')",12.21,1.0,1.0,1.0,1.0,,,
"(3, '15,2')",48.21,,,,,,,
"(3, '12,1')",58.74,2.0,,,,,,
"(3, '10,0')",67.39,3.0,,,,,,
"(3, '8,0')",72.76,1.0,,,,,,
"(3, '8,1')",81.04,2.0,1.0,,,,,
"(3, '9,2')",83.44,1.0,,,,,,
"(3, '9,3')",86.56,3.0,3.0,,,,,
"(3, '12,0')",93.76,1.0,,,,,,
"(3, '14,0')",98.56,1.0,,,,,,
"(3, '14,1')",98.56,1.0,,,,,,
"(3, '15,0')",103.36,,,,,,,
"(3, '12,3')",112.96,1.0,,,,,,
"(3, '10,1')",121.61,1.0,,,,,,
"(3, '13,0')",134.37,1.0,,,,,,
"(3, '13,1')",134.37,1.0,,,,,,
"(3, '15,1')",142.42,,,,,,,
"(3, '13,2')",150.47,2.0,,,,,,
"(3, '12,2')",154.8,1.0,,,,,,
"(3, '12,4')",154.8,1.0,,,,,,
"(3, '15,3')",164.4,,,,,,,
"(3, '7,0')",185.36,2.0,,,,,,
"(3, '7,1')",185.36,1.0,,,,,,
"(3, '15,4')",206.32,1.0,,,,,,
"(3, '15,5')",206.32,1.0,,,,,,
"(3, '10,2')",223.79,,,,,,,
"(3, '6,0')",239.16,2.0,,,,,,
"(3, '6,1')",239.16,1.0,,,,,,
"(3, '9,0')",251.16,1.0,,,,,,
"(3, '9,1')",251.16,2.0,,,,,,
"(3, '15,6')",267.96,,,,,,,
"(3, '3,0')",299.37,3.0,,,,,,
"(3, '15,7')",330.78,,,,,,,
"(4, '8,0')",16.8,1.0,,,,,,
"(4, '15,3')",36.0,,,,,,,
"(4, '10,0')",53.47,1.0,,,,,,
"(4, '15,0')",70.94,,,,,,,
"(4, '15,1')",70.94,1.0,1.0,,,,,
"(4, '14,0')",75.74,2.0,,,,,,
"(4, '12,0')",80.54,1.0,,,,,,
"(4, '13,0')",84.87,,,,,,,
"(4, '13,1')",84.87,1.0,,,,,,
"(4, '7,2')",98.12,1.0,,,,,,
"(4, '7,3')",99.77,1.0,,,,,,
"(4, '5,0')",107.45,,,,,,,
"(4, '4,0')",112.25,1.0,,,,,,
"(4, '1,0')",117.05,1.0,,,,,,
"(4, '1,1')",117.05,1.0,2.0,2.0,1.0,,,
"(4, '2,0')",123.51,1.0,,,,,,
"(4, '2,1')",123.51,2.0,,,,,,
"(4, '5,1')",132.88,1.0,,,,,,
"(4, '5,2')",132.88,3.0,,,,,,
"(4, '15,2')",159.28,,,,,,,
"(4, '7,0')",180.24,1.0,,,,,,
"(4, '7,1')",180.24,1.0,,,,,,
"(4, '4,1')",192.06,1.0,,,,,,
"(4, '4,2')",192.06,1.0,,,,,,
"(4, '11,0')",213.02,1.0,,,,,,
"(4, '11,1')",213.02,3.0,,,,,,
"(4, '15,4')",227.67,,,,,,,
"(4, '6,0')",255.03,1.0,,,,,,
"(4, '6,1')",255.03,1.0,,,,,,
"(4, '3,0')",266.85,1.0,,,,,,
"(4, '3,1')",266.85,2.0,,,,,,
"(4, '15,5')",298.26,,,,,,,
"(5, '1,2')",6.59,3.0,3.0,,,,,
"(5, '15,1')",42.59,1.0,,,,,,
