,0,1,2
"(1, '13,0')",34.05,17.0,
"(1, '15,2')",42.1,,
"(1, '11,0')",56.75,7.0,
"(1, '10,0')",93.5,13.0,
"(1, '15,0')",110.97,,
"(1, '14,0')",115.77,3.0,
"(1, '15,1')",120.57,,
"(1, '12,0')",130.17,8.0,1.0
"(1, '14,1')",134.97,,
"(1, '15,3')",139.77,,
"(1, '3,0')",171.18,12.0,
"(1, '15,4')",202.59,,
"(2, '6,0')",26.05,11.0,
"(2, '15,4')",53.41,,
"(2, '10,0')",70.88,8.0,
"(2, '15,0')",88.35,,
"(2, '15,1')",88.35,1.0,
"(2, '11,0')",103.0,,
"(2, '12,0')",111.74,14.0,
"(2, '15,2')",121.34,,
"(2, '7,0')",142.3,12.0,
"(2, '15,3')",163.26,,
"(3, '11,1')",30.1,15.0,
"(3, '15,1')",44.75,2.0,
"(3, '6,0')",80.0,4.0,
"(3, '10,0')",117.63,8.0,
"(3, '11,0')",123.63,6.0,
"(3, '15,0')",138.28,,
"(3, '9,0')",155.08,8.0,
"(3, '15,2')",171.88,,
"(4, '10,0')",30.53,13.0,
"(4, '15,0')",48.0,,
"(4, '12,0')",58.11,8.0,
"(4, '2,0')",82.85,12.0,
"(4, '15,1')",116.98,1.0,1.0
"(4, '9,0')",133.78,,
"(4, '3,0')",148.62,,
"(4, '3,1')",148.62,7.0,
"(4, '15,2')",180.03,,
"(5, '5,1')",30.24,8.0,
"(5, '15,2')",56.64,,
"(5, '14,0')",62.16,17.0,
"(5, '15,0')",97.04,1.0,
"(5, '5,0')",123.44,6.0,
"(5, '6,0')",130.64,7.0,
"(5, '15,1')",158.0,,
"(6, '15,0')",36.0,1.0,
"(6, '5,0')",62.4,9.0,
"(6, '2,0')",97.76,11.0,
"(6, '15,1')",131.89,,
"(6, '6,0')",159.25,10.0,
"(6, '15,2')",186.61,,
"(7, '4,2')",24.5,14.0,
"(7, '15,3')",55.7,,
"(7, '11,0')",76.5,7.0,
"(7, '4,1')",97.46,13.0,
"(7, '15,2')",128.66,,
"(7, '13,0')",136.71,2.0,
"(7, '14,0')",141.04,,
"(7, '15,0')",145.84,1.0,
"(7, '3,0')",177.25,,
"(7, '4,0')",180.85,3.0,
"(7, '15,1')",212.05,,
"(8, '14,0')",31.2,13.0,
"(8, '15,0')",56.07,2.0,
"(8, '12,0')",65.67,,
"(8, '13,0')",70.0,14.0,
"(8, '15,1')",78.05,,
"(8, '9,0')",94.85,3.0,
"(8, '7,0')",100.85,15.0,2.0
"(8, '15,2')",121.81,,
"(8, '4,0')",153.01,17.0,
"(8, '15,3')",184.21,,
"(9, '12,2')",36.42,11.0,
"(9, '15,1')",46.02,,
"(9, '9,0')",62.82,12.0,
"(9, '12,0')",70.02,1.0,
"(9, '13,0')",74.35,,
"(9, '12,1')",78.68,7.0,
"(9, '15,0')",88.28,,
"(9, '9,1')",105.08,7.0,
"(9, '7,0')",111.08,13.0,
"(9, '15,2')",132.04,,
"(9, '11,0')",146.69,5.0,
"(9, '15,3')",161.34,,
"(10, '15,0')",36.0,2.0,
"(10, '13,0')",44.05,,
"(10, '2,0')",72.14,20.0,
"(10, '15,1')",106.27,,
"(10, '13,1')",114.32,2.0,
"(10, '15,2')",122.37,,
"(10, '11,0')",137.02,4.0,
"(10, '15,3')",151.67,,
"(11, '8,0')",29.62,7.0,
"(11, '15,0')",61.37,1.0,
"(11, '5,0')",88.42,9.0,
"(11, '4,0')",93.22,,
"(11, '4,1')",96.24,1.0,
"(11, '14,0')",122.64,10.0,
"(11, '15,1')",127.44,1.0,1.0
"(11, '7,0')",148.4,,
"(11, '6,0')",154.86,,
"(12, '9,0')",29.23,16.0,
"(12, '15,3')",46.03,,
"(12, '3,0')",77.44,8.0,1.0
"(12, '1,0')",83.44,11.0,
"(12, '15,0')",119.44,,
"(12, '8,0')",138.64,7.0,
"(12, '8,1')",138.64,8.0,
"(12, '15,1')",157.84,,
"(12, '6,0')",185.2,9.0,
"(12, '15,2')",212.56,,
"(13, '1,0')",28.1,20.0,
"(13, '15,0')",64.1,,
"(13, '14,0')",72.21,5.0,
"(13, '8,0')",86.61,15.0,
"(13, '15,1')",105.81,,
"(13, '13,0')",113.86,15.0,
"(13, '15,2')",121.91,1.0,
"(13, '15,3')",121.91,1.0,2.0
"(13, '14,1')",126.71,,
"(13, '8,1')",141.11,,
"(13, '9,0')",143.51,2.0,
"(13, '15,4')",160.31,,
"(14, '15,1')",36.0,2.0,
"(14, '1,0')",87.8,9.0,
"(14, '5,0')",97.4,5.0,
"(14, '7,0')",105.08,6.0,
"(14, '15,0')",126.04,,
"(14, '15,2')",126.04,1.0,1.0
"(14, '7,1')",147.0,,
"(14, '6,0')",153.46,,
"(15, '1,0')",115.81,8.0,
"(15, '15,0')",151.81,,
"(16, '2,0')",110.87,5.0,
"(16, '15,0')",145.0,,
"(16, '3,0')",176.41,14.0,
"(16, '15,1')",207.82,,
