,0,1,2
"(1, '14,1')",16.24,5.0,
"(1, '15,2')",21.04,,
"(1, '15,6')",21.04,2.0,
"(1, '12,1')",30.64,4.0,
"(1, '11,1')",39.38,7.0,
"(1, '10,0')",50.35,7.0,
"(1, '15,0')",67.82,1.0,
"(1, '14,0')",74.21,10.0,
"(1, '15,1')",79.01,,
"(1, '13,0')",87.06,6.0,
"(1, '12,0')",91.39,1.0,
"(1, '15,3')",100.99,,
"(1, '15,4')",101.61,1.0,
"(1, '11,0')",118.58,2.0,
"(1, '3,0')",138.37,,
"(1, '3,1')",138.37,7.0,
"(1, '4,0')",141.97,2.0,
"(1, '4,1')",141.97,1.0,
"(1, '15,5')",173.17,,
"(2, '9,1')",13.94,10.0,
"(2, '15,4')",30.74,,
"(2, '14,1')",35.54,8.0,
"(2, '15,2')",40.34,,
"(2, '12,0')",49.94,9.0,1.0
"(2, '10,0')",70.86,3.0,
"(2, '11,0')",82.64,7.0,
"(2, '15,0')",97.29,,
"(2, '14,0')",102.09,6.0,
"(2, '15,1')",106.89,,
"(2, '13,0')",114.94,9.0,
"(2, '13,1')",114.94,2.0,
"(2, '15,3')",122.99,1.0,
"(2, '9,0')",139.79,,
"(2, '3,0')",154.63,8.0,
"(2, '3,1')",154.63,7.0,
"(2, '15,5')",186.04,,
"(3, '2,1')",27.53,7.0,
"(3, '15,2')",61.66,,
"(3, '12,0')",72.53,10.0,
"(3, '10,0')",88.3,9.0,
"(3, '15,0')",105.77,,
"(3, '2,0')",139.9,6.0,
"(3, '3,0')",143.29,5.0,
"(3, '3,1')",143.29,7.0,
"(3, '15,1')",174.7,,
"(4, '4,1')",24.5,8.0,6.0
"(4, '15,2')",55.7,,
"(4, '11,0')",72.97,11.0,3.0
"(4, '15,0')",124.7,,
"(4, '3,0')",156.11,8.0,
"(4, '15,3')",187.52,,
"(5, '10,0')",30.53,7.0,
"(5, '15,0')",48.0,,
"(5, '15,3')",48.0,1.0,
"(5, '7,0')",68.96,4.0,
"(5, '5,0')",76.64,4.0,
"(5, '1,0')",86.24,7.0,
"(5, '8,0')",103.04,4.0,
"(5, '14,0')",117.44,1.0,
"(5, '15,1')",122.24,,
"(5, '10,1')",139.71,6.0,
"(5, '15,4')",157.18,,
"(6, '9,0')",29.23,6.0,
"(6, '15,3')",46.03,,
"(6, '6,1')",80.97,5.0,
"(6, '9,1')",92.97,8.0,7.0
"(6, '15,2')",109.77,,
"(6, '10,0')",127.24,4.0,
"(6, '15,0')",144.71,,
"(7, '10,0')",14.55,6.0,
"(7, '15,0')",32.02,,
"(7, '12,0')",47.72,5.0,
"(7, '7,0')",59.54,5.0,
"(7, '1,0')",102.49,3.0,
"(7, '2,0')",110.87,3.0,
"(7, '5,0')",120.24,4.0,
"(7, '15,1')",146.64,,
"(8, '11,0')",15.73,8.0,
"(8, '15,2')",30.38,,
"(8, '9,0')",53.42,5.0,1.0
"(8, '6,0')",65.42,6.0,
"(8, '2,0')",80.46,8.0,
"(8, '15,0')",114.59,1.0,
"(8, '14,0')",119.39,5.0,
"(8, '5,0')",140.99,,
"(8, '1,0')",150.59,6.0,
"(8, '15,1')",186.59,,
"(9, '15,0')",23.49,1.0,
"(9, '5,0')",51.42,6.0,
"(9, '1,0')",61.02,6.0,
"(9, '12,0')",88.32,8.0,
"(9, '15,1')",97.92,,
"(9, '7,0')",118.88,4.0,
"(9, '6,0')",125.34,1.0,
"(9, '6,1')",125.34,4.0,
"(9, '9,0')",137.34,3.0,
"(9, '15,2')",154.14,,
"(10, '13,1')",18.91,7.0,
"(10, '15,2')",26.96,1.0,
"(10, '14,1')",48.82,5.0,
"(10, '15,1')",53.62,,
"(10, '13,0')",77.42,1.0,
"(10, '14,0')",81.75,,
"(10, '9,0')",97.77,4.0,
"(10, '8,0')",100.17,4.0,
"(10, '7,0')",105.12,1.0,
"(10, '7,1')",105.12,4.0,7.0
