,0,1,2,3
"(1, '3,1')",19.77,5.0,3.0,
"(1, '15,12')",51.18,,,
"(1, '10,0')",68.65,5.0,,
"(1, '2,1')",85.49,7.0,,
"(1, '3,2')",88.88,7.0,,
"(1, '15,11')",120.29,,,
"(1, '6,0')",147.65,3.0,,
"(1, '15,10')",175.53,,,
"(1, '2,0')",209.66,1.0,,
"(1, '15,9')",243.79,1.0,,
"(1, '9,1')",260.59,,,
"(1, '15,8')",277.39,1.0,,
"(1, '8,0')",296.59,,,
"(1, '7,4')",301.54,1.0,,
"(1, '15,6')",329.53,,,
"(1, '13,0')",337.58,1.0,,
"(1, '14,1')",341.91,,,
"(1, '3,0')",368.55,1.0,,
"(1, '15,4')",399.96,,,
"(1, '15,1')",399.96,1.0,,
"(1, '11,0')",414.61,,,
"(2, '5,1')",12.98,3.0,,
"(2, '15,2')",39.38,,,
"(2, '12,0')",48.98,5.0,,
"(2, '9,0')",56.18,1.0,,
"(2, '10,0')",70.86,3.0,,
"(2, '11,1')",76.86,11.0,,
"(2, '15,0')",91.51,,,
"(2, '11,0')",106.16,3.0,,
"(2, '5,0')",122.83,5.0,,
"(2, '6,0')",136.97,1.0,,
"(2, '7,1')",143.43,6.0,,
"(2, '15,1')",165.77,,,
"(2, '15,3')",165.77,2.0,,
"(2, '1,0')",201.77,,,
"(3, '2,1')",27.53,7.0,,
"(3, '15,2')",61.66,,,
"(3, '12,0')",72.53,3.0,,
"(3, '10,0')",82.63,1.0,,
"(3, '7,0')",92.88,5.0,,
"(3, '9,0')",98.88,8.0,,
"(3, '9,1')",98.88,3.0,,
"(3, '15,0')",115.68,,,
"(3, '2,0')",149.81,6.0,,
"(3, '3,0')",153.2,4.0,,
"(3, '3,1')",153.2,7.0,,
"(3, '15,1')",184.61,,,
"(4, '4,2')",24.5,8.0,6.0,
"(4, '15,3')",55.7,,,
"(4, '6,0')",83.06,5.0,,
"(4, '4,1')",91.71,9.0,,
"(4, '15,2')",122.91,,,
"(4, '10,0')",140.38,6.0,,
"(4, '10,1')",140.38,4.0,,
"(4, '15,0')",157.85,,,
"(4, '4,0')",189.05,2.0,,
"(4, '15,1')",220.25,,,
"(5, '10,0')",30.53,7.0,6.0,
"(5, '15,0')",48.0,,,
"(5, '15,3')",48.0,1.0,,
"(5, '3,1')",80.41,7.0,,
"(5, '1,0')",86.41,7.0,,
"(5, '8,0')",103.21,4.0,,
"(5, '14,0')",117.61,1.0,,
"(5, '15,1')",122.41,,,
"(5, '4,0')",160.81,1.0,,
"(5, '15,2')",192.01,,,
"(6, '11,2')",30.1,7.0,8.0,
"(6, '15,1')",44.75,2.0,,
"(6, '6,1')",72.11,6.0,,
"(6, '6,2')",89.06,5.0,,
"(6, '10,0')",117.63,4.0,,
"(6, '11,0')",123.63,2.0,,
"(6, '11,1')",123.63,1.0,,
"(6, '12,0')",132.37,2.0,,
"(6, '15,0')",172.22,1.0,,
"(6, '6,0')",199.58,,,
"(7, '6,2')",26.05,5.0,4.0,
"(7, '15,4')",53.41,,,
"(7, '12,0')",63.01,7.0,,
"(7, '11,0')",80.52,9.0,,
"(7, '15,3')",95.17,,,
"(7, '9,0')",111.97,5.0,,
"(7, '7,0')",131.29,4.0,,
"(7, '6,0')",137.75,4.0,,
"(7, '7,1')",144.21,1.0,,
"(7, '10,0')",154.46,2.0,,
"(7, '10,1')",154.46,4.0,,
"(7, '15,2')",180.98,,,
"(8, '7,0')",17.02,9.0,,
"(8, '15,2')",37.98,,,
"(8, '9,2')",54.78,5.0,,
"(8, '4,0')",78.57,4.0,,
"(8, '4,1')",78.57,8.0,,
"(8, '15,0')",109.77,1.0,,
"(8, '5,0')",136.17,4.0,,
"(8, '9,0')",145.77,2.0,,
"(8, '9,1')",145.77,4.0,,
"(8, '7,1')",151.77,3.0,,
"(8, '7,2')",151.77,5.0,,
"(8, '15,1')",172.73,,,
"(9, '13,0')",34.05,7.0,10.0,
"(9, '15,0')",42.1,1.0,,
"(9, '12,1')",51.7,1.0,,
"(9, '5,0')",68.5,,,
"(9, '5,1')",68.5,6.0,,
"(9, '1,0')",78.1,6.0,,
"(9, '4,0')",82.9,1.0,2.0,
"(9, '14,0')",109.3,5.0,,
"(9, '15,1')",114.1,,,
"(9, '12,0')",123.7,6.0,,
"(9, '15,2')",133.3,,,
"(9, '11,0')",147.95,3.0,,
"(9, '12,2')",156.69,1.0,,
"(9, '15,3')",166.29,,,
"(10, '14,3')",31.2,8.0,5.0,
"(10, '15,2')",36.0,,,
"(10, '14,1')",81.75,10.0,,
"(10, '15,0')",86.55,,,
"(10, '15,5')",86.55,1.0,,
"(10, '14,2')",91.35,6.0,,
"(10, '15,1')",96.15,,,
"(10, '13,1')",104.2,9.0,,
"(10, '13,2')",104.2,2.0,,
"(10, '15,3')",112.25,,,
"(10, '7,0')",133.21,4.0,,
"(10, '15,4')",156.01,,,
"(10, '1,0')",192.01,6.0,,
"(10, '15,6')",228.01,,,
"(11, '8,0')",29.62,3.0,,
"(11, '15,1')",48.82,,,
"(11, '14,1')",53.62,3.0,,
"(11, '13,0')",57.95,1.0,,
"(11, '13,1')",57.95,2.0,,
"(11, '14,0')",62.28,,,
"(11, '15,0')",67.17,1.0,1.0,
"(11, '14,2')",71.97,,,
"(11, '4,0')",102.71,1.0,,
